nazev,latinský nazev,popis,vune,pouziti
Bergamot SUN esenciální olej,Citrus bergamia,"V uklidňující náruči bergamotu radostně vplujte na
prosluněný parket. Konečně je tady SUN verze, se kterou můžete vyjít
i na sluníčko.","Vůně: svěží, trpká, jemně sladká, květinová","Použití: inhalace, koupel, péče o pleť a pokožku"
Blue tansy - Vratič esenciální olej,Tanacetum annuum,"Vratič, někdy také známý jako balzámová kopretina, roste v Maroku,
kde pilné ruce sklízejí tisíce žlutých kvítků na výrobu jednoho ze
vzácných exotických esenciálních olejů. Barva oleje je stejně modrá jako
moře, blízko kterého rostliny rostou. Má jemnou, sladkou vůni.",,
Borovice Banksova BIO esenciální olej,Pinus banksiana,"Obnovte energetické zásoby v nádherně
osvěžující a čerstvé vůni borovicového lesa.",Vůně: svěží se sladce pryskyřičnými tóny,"Použití: inhalace, masáž, koupel"
Borovice lesní BIO esenciální olej,Pinus sylvestris,"Zhluboka se nadechněte, doplňte energii a
využijte svěží sílu borovicového jehličí. Podpoří,
pročistí a zregeneruje vaše tělo i duši.","Vůně: svěží, lesní, balzámová","Použití: inhalace, masáž, koupel"
Borovice smolná esenciální olej,Pinus resinosa,"Obnovte své energetické zásoby v nádherně
osvěžující a čerstvé vůni borovicového lesa.","Vůně: výrazná dřevitá, zemitá, svěží","Použití: inhalace, masáž, koupel"
Borovice sumaterská esenciální olej,Pinus Merkusii,"Obnovte energetické zásoby v nádherně
osvěžující a čerstvé vůni borovicového lesa.","Vůně: svěží, eukalyptová, dřevitá, jehličnatá","Použití: inhalace, masáž, koupel"
Borovice vejmutovka BIO esenciální olej,Pinus strobus,"Obnovte své energetické zásoby v nádherně
osvěžující a čerstvé vůni borovicového lesa.","Vůně: svěží, jemná, dřevitá s pryskyřičnými
tóny","Použití: inhalace, masáž, koupel"
Calamus esenciální olej,Acorus Calamus,Esenciální olej z puškvorce má teplou kořenito-dřevitou vůni.,,
Cedr atlaský esenciální olej,Cedrus atlantica,"Obnovte svou neochvějnou vnitřní sílu s pomocí
impozantního cedru, který vás pročistí,
zregeneruje a podpoří vaši odolnost a
sebejistotu.","Vůně: sladká, dřevitá, balzámová a jemně
kafrová","Použití: inhalace, masáž, koupel"
"Celer, semena esenciální olej",Apium graveolens,"Najděte v sobě sílu potřebnou na vše, co chcete
udělat. Teplé aroma celerových semínek vás povzbudí a
zbystří vaši mysl. Poslouží dokonce
i v kuchyni.","Vůně: sladce kořenitá, bylinná, teplá, zemitá","Použití: inhalace, koupel, dochucení pokrmů"
Česnek esenciální olej,Allium Sativum,"Povolejte do svých služeb zázrak, který znaly už
prastaré civilizace – nedali na něj dopustit Egypťané ani Římané.
Intenzivní aroma česneku vás všestranně
podpoří.","Vůně: silně aromatická, pronikavá, štiplavá, typicky
česneková","Použití: inhalace, obklad, masáž"
Chmel esenciální olej,Humulus lupulus,"Poznejte nový způsob využití blahodárného působení
chmelu, zcela bez obav z pivního břicha.","Vůně: výrazná dřevitá, bylinná, sladko-kyselá","Použití: inhalace, masáž, koupel"
Citron SUN esenciální olej,Citrus limon,"Mějte nadosah překypující energii citrusového plodu.
Konečně je tady SUN verze, se kterou můžete vyjít i na sluníčko.","Vůně: trpká, kyselá, květinová, svěží","Použití: inhalace, koupel, péče o pleť a pokožku"
"Citron, BIO RAW esenciální olej",Citrus limon,"Vychutnejte si vlnu osvěžení, radosti a
čistoty, kterou vám přinese bio esenciální olej z citronu
lisovaný za studena. Pro svěží den od rána do večera.","Vůně: citrusová, čerstvá, s lehce nahořklými tóny
citrusové kůry","Použití: inhalace, masáž, úklid domácnosti"
"Citron, destilovaný esenciální olej",Citrus limon,"Mějte nadosah překypující energii oblíbeného
citrusového plodu, který vám navodí pocity čistoty, svěžesti a
sebedůvěry.","Vůně: typicky citrusová, osvěžující, jemně kyselá,
nasládlá, lehká","Použití: inhalace, masáž, koupel"
Citronela esenciální olej,Cymbopogon nardus,"Načerpejte radost, elán a svěžest
tropické citronelové trávy a nechte se povznést její
očistnou silou.","Vůně: svěží, teplá, citrusová, nasládlá
s dřevitými tóny","Použití: inhalace, přírodní repelent, masáž"
Cubeb esenciální olej,Piper cubeba,"Vůně je výrazná, kořeněná, jemně balzámová. Prohřívající
tonikum, které rozproudí v těle energii.","Pro své silné antioxidační působení je přidáván i do kosmetických
produktů.",
Cypriol esenciální olej,Cyperus scariosus,"Vůně je výrazná, hřejivá se sladce-dřevitými podtóny. Na
emočně-energetické úrovni navozuje klid a uvolnění.","Vyživí, podpoří a krásně provoní i pleť a pokožku
celého těla.",
Cypřiš BIO esenciální olej,Cupressus sempervirens,"Využijte všestrannou podporu esenciálního oleje
z cypřiše, nyní i v bio kvalitě. Rozpusťte
stres, dopřejte péči své mastné a
problematické pleti, zregulujte pocení
i cirkulaci.","Vůně: svěží, dřevitá, balzamická","Použití: inhalace, masáž, koupel"
Cypřiš esenciální olej,Cupressus sempervirens,"Navoďte si pocit hlubokého pokoje. „Strom klidné
krásy“ vás opečuje, dokonale zpřítomní
a navrátí zdravý optimismus.","Vůně: svěží, terpenická, dřevitá, balzámová
s citrusovými tóny","Použití: inhalace, masáž, obklad"
Drmek esenciální olej,Vitex agnus castus,"Kralujte svou ženskostí. Drmek
zharmonizuje vaše dny, aby plynuly v souladu
s cykly přírody a umocnily váš pocit naplnění.","Vůně: bylinná, sladce květinová s mentolovými a
kafrovými tóny","Použití: inhalace, péče o pleť a pokožku, obklad"
Elemi esenciální olej,Canarium luzonicum,"Dosáhněte duševní pohody, dopřejte omlazující
péči své pleti, zklidněte dýchací cesty a posilte ochranu
proti mikrobům s exotickým esenciálním olejem z Filipín.","Vůně: teplá kořeněná s balzámovými a
svěžími tóny","Použití: inhalace, péče o pleť a pokožku, parfém"
Esenciální oleje CZ – praktická příručka,"Autoři této jedinečné příručky vytvořili knihu, která patří
k tomu nejlepšímu co lze na trhu v oboru aromaterapie najít. Bude ozdobou
knihovny všech příznivců zdravého životního stylu, esenciálních olejů,
aromaterapeutů, masérů, lékařů nebo naturopatů. Ocení ji úplní
začátečníci i zkušení profesionálové.",,,
Eukalyptus Blue esenciální olej,Eucalyptus polybractea,"Zpomalte mysl a prociťte hloubku svého dechu – modrý
eukalyptus vám dodá emoční vzpruhu, radost z pohybu a
celkovou vitalitu.","Vůně: svěží, sladce kafrová","Použití: inhalace, masáž, obklad"
Eukalyptus Camaldulensis esenciální olej,Eucalyptus camaldulensis,"Vykročte svobodně vpřed, zhluboka dýchejte a pociťte
radostnou svěžest energizujícího eukalyptu.","Vůně: svěží, kafrová, bylinná","Použití: inhalace, masáž, přírodní repelent"
Eukalyptus Citriodora esenciální olej,Eucalyptus citriodora,"Otevřete svou hruď – pocit svěžesti
a vitality se rodí s každým vaším nádechem.
Prohlubte jej a posilte tělo i ducha.","Vůně: citrusová, jemně kafrová
s květinovými tóny","Použití: inhalace, masáž, obklad"
Eukalyptus Globulus BIO esenciální olej,Eucalyptus globulus,"Využijte osvěžení a posilu, které
přináší náš eukalyptus globulus v bio kvalitě. Také
odlehčí od napětí všeho druhu, prohloubí
dech a zažene únavu.","Vůně: svěží, pronikavá s kafrovými a
dřevitě-citrusovými tóny","Použití: inhalace, masáž, přírodní repelent"
Eukalyptus Globulus esenciální olej,Eucalyptus globulus,"Zbavte se těžkostí při dýchání a posilte celkovou
odolnost. Přichází příjemně chladivá a
svěží vzpruha v podobě statného blahovičníku.","Vůně: intenzivní, svěží, kafrová s dřevitými a
citrusovými tóny","Použití: inhalace, masáž, přírodní repelent"
Eukalyptus Radiata esenciální olej,Eucalyptus radiata,"Dopřejte si blaho z blahovičníku. Vylepší vám
náladu, skvěle pročistí a dodá
vzpruhu.","Vůně: svěží, pronikavá, kafrová s jemně
citrusovými a květinovými tóny","Použití: inhalace, masáž, obklad"
Eukalyptus Staigeriana esenciální olej,Eucalyptus staigeriana,"Osvěžte postoj k životu a zakotvěte v hloubce svého
dechu. S eukalyptem v sobě posílíte
odolnost, odvahu a vnitřní sílu
projevit se.","Vůně: citrusová, jemně kafrová s bylinnými tóny","Použití:inhalace, masáž, přírodní repelent"
Fenykl esenciální olej,Foeniculum vulgare,"Poznejte sílu voňavého fenyklu, který pohladí na duši
a zkrotí mnohé bouře vašeho těla. Kouzlit s ním můžete
i v kuchyni.","Vůně: sladce kořenitá, bylinná, lékořicová, zemitá,
anýzová","Použití: inhalace, koupel, dochucení pokrmů"
"Fenykl RAW, CO₂ esenciální olej",Foeniculum vulgare,"Sladké, pronikavě vonící aroma fenyklu podpoří vaši touhu po
sebevyjádření a komunikaci. Posílí i vaše odhodlání proměnit vaše
nápady ve skutečnost.",,
Fenykl sladký BIO esenciální olej,Foeniculum vulgare,"Zlepšete chuť k jídlu i trávení a zpestřete si
kuchyni sladkým fenyklem, který může podpořit
i hluboké dýchání, zmírnit ženské
potíže a celkově vás zklidnit.","Vůně: sladká, lehce zemito-peprná s tóny anýzu",Použití: dochucení pokrmů
Galbanum esenciální olej,Ferula galbaniflua,"Zmírněte napětí svalů a kloubů a věnujte péči své
pleti. Pomocí očistného galbana navíc
uzemníte svou mysl a zklidníte
rozbouřené emoce.","Vůně: svěží, dřevitá s balzamickým podtónem","Použití: péče o pleť a pokožku, masáž, parfém"
Galgán esenciální olej,Alpinia galanga,"Poznejte sílu kořene, který umocní mužskou sílu.","Vůně: kořenitá, zázvorová a kafrová, s tóny pepře
a borovicového jehličí","Použití: masáž, inhalace, parfém"
Geránium Bourbon esenciální olej,Pelargonium x asperum,"Podpořte své mocné ženství. S touto bylinkou se ve
vás rozhostí klid, uvolnění a odhodlanost
jít dál i přes překážky.","Vůně: růžová, jemná, kořenitá s jemně sladkým a
citrusovým nádechem","Použití: inhalace, masáž, parfém"
Geránium esenciální olej,Pelargonium graveolens,"Vklouzněte do konejšivého objetí jedinečné ženské
bylinky, jejíž pečující síla vám pomůže vrátit balanc s vaším
přirozeným rytmem.","Vůně: těžší růžová, kořenitá s jemně
citrusovým nádechem","Použití: inhalace, péče o pleť a pokožku, koupel"
Ginger Lily esenciální olej,Hedychium spicatum,"Vůně je dřevitá, kořenitá až kafrová. Podporuje koncentraci a
je výbornou volbou při obnově sil po vyčerpání.",Mimořádnou péči poskytuje i vlasům a vlasové pokožce.,
Grapefruit bílý esenciální olej,Citrus paradisi,"Přeneste se na prosluněné písečné pláže
Středomoří s jiskřivou energií osvěžujícího a
povzbuzujícího bílého grepu.","Vůně: svěží, citrusová, lehce nahořklá
s květinovými tóny","Použití: inhalace, masáž, parfém"
Grapefruit růžový esenciální olej,Citrus paradisi,"Dobijte si baterky s esenciálním olejem z růžového grapefruitu.
Zlepší vám náladu, uvolní napětí a
rozpustí stres. Důkladně vás pročistí,
zjemní celulitidu a pomůže na cestě k vysněné
postavě.","Vůně: svěží, nasládlá, povzbuzující","Použití: inhalace, masáž, koupel"
Grapefruit SUN esenciální olej,Citrus paradisi,"Nastartujte detox, podpořte štíhlou
linii a dopřejte si příliv dobré nálady. Svěží
grapefruit nyní máme i v destilované SUN verzi, kterou
můžete použít na pokožku a bez obav vyrazit na slunce.","Vůně: svěží, citrusová, lehce nahořklá","Použití: inhalace, masáž, péče o pleť a pokožku"
Gurjum Balsam esenciální olej,Dipterocarpus turbinatus,"Vyzkoušejte všestranný účinek exotického
esenciálního oleje, který přinese uklidnění vaší
duši, stejně jako podrážděné
pokožce.","Vůně: dřevitá, balzámová, lehce nasládlá","Použití: inhalace, masáž, koupel"
Heřmánek pravý BIO esenciální olej,Matricaria recutita,"Dosáhněte maximálního uvolnění se známou vůní
heřmánku pravého v bio kvalitě. Tento
zklidňující olej vám přinese nerušený a hluboký
spánek, utiší napětí a opečuje vaše
vlasy i citlivou pleť.","Vůně: silná, nasládlá, teple bylinná","Použití: péče o pleť a pokožku, masáž, inhalace"
Heřmánek pravý esenciální olej,Matricaria chamomilla,"Vzpomínka na dětství, která pohladí. Jemná
uklidňující náruč vám usnadní přijmout pomoc a přinese
vytoužené uvolnění.",Vůně: sladce bylinná s ovocnými tóny,"Použití: inhalace, péče o pleť a pokožku, koupel"
Hinoki esenciální olej,Chamaecyparis obtusa,"Vychutnejte si příjemné chvíle relaxace s uvolňující
vůní esenciálního oleje z japonského stromu hinoki. Přinese blahodárné
zklidnění vaší pleti a vzpruhu vašim
vlasům.","Vůně: čerstvá, dřevitá, balzámová","Použití: inhalace, masáž, koupel"
"Hřebíček, list esenciální olej",Caryophyllus aromaticus,"Objevte silně energizující a
prohřívací účinky esenciálního oleje z listů
hřebíčku, který vás mentálně posílí, navodí
pocit bezpečí a podpoří spánek.","Vůně: intenzivní, kořeněná, palčivá","Použití: inhalace, masáž, obklad"
"Hřebíček, pupen esenciální olej",Caryophyllus Aromaticus,"Nechte na sebe působit výrazně energizující a
prohřívací účinky esenciálního oleje z pupenů
hřebíčku, který vám přinese pocit bezpečí, dodá
mentální odolnost a podpoří klidný noční odpočinek.","Vůně: intenzivní, sladce kořeněná, palčivá","Použití: inhalace, masáž, obklad"
Iary esenciální olej,Psiadia altissima,"Navraťte tělu lehkost, pociťte příval
energie a zůstaňte svěží
s jedinečným Iary.","Vůně: dřevitá, nasládlá s tóny jehličí a
eukalyptu","Použití: inhalace, péče o pleť a pokožku, koupel"
Ibiškovec pižmový esenciální olej,Hibiscus abelmoschus,"Ukojte svou zvědavost a seznamte se s jedním z pěti
nejcennějších esenciálních olejů světa.","Vůně: teplá, hřejivá, dřevitá, pižmová","Použití: parfém, inhalace, masáž"
Jalovec Cade esenciální olej,Juniperus oxycedrus,"Objevte sílu divokého jalovce, který vás uzemní a dodá
vám pocity stability.","Vůně: intenzivní, kouřová s dřevitými podtóny","Použití: inhalace, péče o pleť a pokožku,
vlasový zábal"
"Jalovec, list esenciální olej",Juniperus communis,"Vydejte se za svými sny v doprovodu jalovce, který vás
rozproudí a dodá vám rozhodnost,
odvahu a otevřenost.","Vůně: svěží, dřevitá, zemitá s borovicovým
nádechem, sladkohořká","Použití: inhalace, koupel, masáž"
Jasmín esenciální olej,Jasminum grandiflorum,"Jasmínové absolue voní teple, bohatě, květinově a sladce. Podpoří ve
vás radost, tvořivost a harmonii.",,
Jedle balzámová esenciální olej,Abies balsamea,"Vytvořte si prostor pro hluboké dýchání, provoňte
vzduch a nabijte se čerstvou energií
s čistou lesní vůní balzámové jedle.","Vůně: teplejší, hlubší, balzámově dřevitá
s nasládlými tóny","Použití: inhalace, masáž, koupel"
"Jedle balzámová, jehličí BIO esenciální olej",Abies balsamea,"Dopřejte si laskavou péči zabalenou do kouzelné
sváteční vůně.","Vůně: svěží, nasládlá, pryskyřičná, dřevitá","Použití: inhalace, masáž, koupel"
"Jedle balzámová, kůra BIO esenciální olej",Abies balsamea,"Dopřejte si laskavou péči zabalenou do kouzelné
sváteční vůně.","Vůně: svěží, nasládlá, pryskyřičná, dřevitá","Použití: inhalace, masáž, koupel"
"Jedle sibiřská, jehličí esenciální olej",Abies sibirica,"Dopřejte si laskavou péči zabalenou do
sváteční vůně.","Vůně: čerstvá, pryskyřičná, dřevitá,
jehličnatá","Použití: inhalace, masáž, koupel"
Kadidlo Carterii esenciální olej,Boswellia carterii,"Poznejte neskonalou sílu mimořádně pečujícího a
povznášejícího krále esenciálních olejů.","Vůně: dřevitá, hřejivá, pryskyřičná, svěží","Použití: inhalace, péče o pleť a pokožku, koupel"
Kadidlo Frereana esenciální olej,Boswellia frereana,"Poznejte neskonalou sílu mimořádně pečujícího a
povznášejícího krále esenciálních olejů.","Vůně: intenzivní, hluboká, balzamická s citronovým
nádechem","Použití: inhalace, péče o pleť a pokožku, koupel"
Kadidlo Sacra esenciální olej,Boswellia sacra,"Poznejte posvátnou sílu mimořádně pečujícího a
povznášejícího krále esenciálních olejů.","Vůně: jemná, balzámová, hřejivá se sladkým
podtónem","Použití: inhalace, péče o pleť a pokožku, koupel"
Kafrová limetka esenciální olej,Citrus hystrix,"Povzbuďte své tělo, mysl i ducha svěžestí exotické
limetky, která vám dodá vzpruhu, radost a vašim
pokrmům neopakovatelný říz.","Vůně: citrusová, kořenitá, svěží","Použití: inhalace, koupel, dochucení pokrmů"
Kajeput bělodřevý esenciální olej,Melaleuca leucadendron var. cajuputi,"Dopřejte svému tělu silný ochranný štít.
S posilujícím kajeputem rozdýcháte
každý neduh a raz dva budete zpět v kondici.","Vůně: svěží, bylinná, sladká s ovocnými a
kafrovými tóny","Použití: inhalace, masáž, obklad"
Kananga esenciální olej,Cananga odorata var. macrophylla,"Nechte se očarovat okouzlující vůní žlutých květů kanangy, která
vám otevře srdce, nebesky vás rozvášní a
povznese nad každodenní stres.","Vůně: květinová, dřevitá, balzámová","Použití: inhalace, masáž, koupel"
Kanuka esenciální olej,Kunzea ericoides,"Projasněte mysl, zbystřete pozornost a
příjemně se uvolněte pro chvíle večerního relaxu se
vzácným a v tuzemsku ojedinělým esenciálním olejem
z kanuky, známým také jako bílý tea tree.","Vůně: svěží, bylinná s tóny eukalyptu","Použití: inhalace, péče o pleť a pokožku, koupel"
Kardamom černý esenciální olej,Amomum subulatum,"Podpořte v sobě pocit stability, harmonie a chuti do
života. Nepálský kardamom vás svou nezaměnitelnou vůní
rozveselí a rozežene každou známku duševní únavy.","Vůně: kořenitá, intenzivní, kouřová s uzeným a
mentolovým podtónem","Použití: inhalace, koupel, masáž"
Kardamom zelený esenciální olej,Elettaria cardamomum,"Podpořte v sobě pocit stability, harmonie a chuti
do života s tisíciletým pomocníkem přezdívaným zrno ráje.
Exotiku vnese také do vašich kulinářských výletů.","Vůně: sladce kořenitá, orientální, teplá, jemně
kafrová","Použití: inhalace, koupel, dochucení pokrmů"
"Kardamom zelený RAW, CO₂ esenciální olej",Elettaria cardamomum,"Podpořte v sobě pocit stability, harmonie a chuti
do života s tisíciletým pomocníkem, na Východě tradičně
přezdívaným zrno ráje.","Vůně: sladce kořenitá, orientální, teplá, jemně
kafrová","Použití: inhalace, koupel, masáž"
Katrafay esenciální olej,Cedrelopsis grevei,"Zažijte příliv energie až z dalekého Madagaskaru.
Exotický katrafay vás postaví na nohy a ukáže vám směr
vaší cesty.","Vůně: dřevitá, bylinná, svěží, balzámová
s nasládlými tóny","Použití: inhalace, masáž, koupel"
Kewra esenciální olej,Pandanus odoratissimus,"Vůně je sladká, květinová. Stabilizuje mysl a vytváří prostor
k maximálnímu soustředění.",,
Khella esenciální olej,Ammi visnaga,"Khella má neobvykle aromatickou, sladkou až lehce zemitou vůni, která
podporuje představivost, imaginaci.",,
Klementinka esenciální olej,Citrus clementina,"Poznejte kouzelně voňavý skvost jižanských zahrad, který vám
z několika kapek vyčaruje radostnou náladu.","Vůně: sladká, svěží, jemně citrusová,
květinová","Použití: inhalace, masáž, koupel"
"Klementinka, BIO RAW esenciální olej",Citrus clementina,"Zvedněte si náladu, zrelaxujte, uvolněte
svaly i mysl a naplňte svůj domov citrusovou svěžestí se
sladkou klementinkou.","Vůně: sladká, svěží, citrusová s lehce ovocnými a
květinovými tóny","Použití: inhalace, masáž, parfém"
Kmín koptský esenciální olej,Trachyspermum ammi,"Poznejte neodolatelnou sílu koptského kmínu, který vás příjemně
naladí, celkově posílí a podpoří váš
pozitivní pohled na svět.","Vůně: bylinná, intenzivní, tymiánová, medicinální,
pikantní","Použití: inhalace, koupel, masáž"
Kmín kořenný esenciální olej,Carum carvi,"Poznejte sílu voňavého kmínu, který vás příjemně
naladí, prohřeje a
posílí.","Vůně: kořenná, nasládlá, teplá","Použití: inhalace, koupel, masáž"
Kmín římský esenciální olej,Cuminum cyminum,"Provoňte v kuchyni svá jídla nádechem orientu
s exotickým římským kmínem. Podpořte své tělo při potížích
se zažíváním, nevolnosti a
nechutenství.","Vůně: teplá, kořeněná s nádechem pižma",Použití: dochucení pokrmů
Kopaiva esenciální olej,Copaifera officinalis,"Odpočiňte si po dni plném stresu a načerpejte novou energii z exotické
kopaivy, která vás jemně ztiší a přátelsky
ukonejší.","Vůně: zemitá, dřevitá se sladkými tóny","Použití: inhalace, péče o pleť a pokožku, masáž"
Kopál vonný - Palo Santo esenciální olej,Bursera graveolens,"Esenciální olej Palo Santo má jedinečné sladké a povznášející
aroma, které můžeme zařadit mezi aromaterapeutické poklady.",,
"Kopr, semena esenciální olej",Anethum graveolens,"Kráčejte lehce, klidně a
s radostí. Žluté deštníky koprových květů plných
voňavých semen vás ochrání před nepohodou. Zazáří také
v kuchyni.","Vůně: bylinná, nasládlá, teplá s kořeněným a
mátovým tónem","Použití: inhalace, koupel, dochucení pokrmů"
"Koriandr, list esenciální olej",Coriandrum sativum,"Poznejte hřejivou péči voňavého cilantra, které vás
emočně ukotví a podpoří vitalitu a
smyslnost. Jistě vás oslní
i v kuchyni.","Vůně: teplá, sladká, bylinná, kořenitá s nádechem
pomeranče","Použití: inhalace, koupel, dochucení pokrmů"
